CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2014-12-31;1;BCO BRASIL S.A.;001023;DFP;43994;2015-02-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43994
00.000.000/0001-91;2014-12-31;2;BCO BRASIL S.A.;001023;DFP;45354;2015-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45354
00.000.208/0001-00;2014-12-31;1;BRB BANCO DE BRASILIA S.A.;014206;DFP;45265;2015-03-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45265
00.000.208/0001-00;2014-12-31;2;BRB BANCO DE BRASILIA S.A.;014206;DFP;46034;2015-04-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46034
00.001.180/0001-26;2014-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DFP;45472;2015-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45472
00.001.180/0001-26;2014-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DFP;45901;2015-04-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45901
00.070.698/0001-11;2014-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DFP;45397;2015-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45397
00.115.890/0001-87;2014-12-31;1;SHOPPING CENTER TACARUNA SA;015733;DFP;45478;2015-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45478
00.192.769/0001-59;2014-12-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;DFP;45522;2015-03-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45522
00.272.185/0001-93;2014-12-31;1;CIMS S.A.;014818;DFP;44237;2015-02-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44237
00.336.701/0001-04;2014-12-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;DFP;45199;2015-03-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45199
00.354.053/0001-00;2014-12-31;1;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;015083;DFP;45381;2015-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45381
00.359.742/0001-08;2014-12-31;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;DFP;46933;2015-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46933
00.383.281/0001-09;2014-12-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;DFP;45509;2015-03-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45509
00.383.281/0001-09;2014-12-31;2;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;DFP;45803;2015-04-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45803
00.383.281/0001-09;2014-12-31;3;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;DFP;45993;2015-04-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=45993
