CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;001023;DFP;133944;2024-02-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133944
00.000.208/0001-00;2023-12-31;1;BRB BANCO DE BRASILIA S.A.;014206;DFP;135627;2024-04-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135627
00.000.208/0001-00;2023-12-31;2;BRB BANCO DE BRASILIA S.A.;014206;DFP;135644;2024-04-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135644
00.000.208/0001-00;2023-12-31;3;BRB BANCO DE BRASILIA S.A.;014206;DFP;135807;2024-04-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135807
00.000.208/0001-00;2023-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;DFP;139310;2024-06-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139310
00.000.208/0001-00;2023-12-31;5;BRB BANCO DE BRASILIA S.A.;014206;DFP;139339;2024-06-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139339
00.001.180/0001-26;2023-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DFP;134729;2024-03-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=134729
00.001.180/0001-26;2023-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DFP;137285;2024-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137285
00.070.698/0001-11;2023-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DFP;135023;2024-03-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135023
00.080.671/0001-00;2023-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DFP;136002;2024-04-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136002
