CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2015-12-31;1;BCO BRASIL S.A.;001023;DFP;53614;2016-02-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=53614
00.000.000/0001-91;2015-12-31;2;BCO BRASIL S.A.;001023;DFP;54536;2016-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54536
00.000.000/0001-91;2015-12-31;3;BCO BRASIL S.A.;001023;DFP;57534;2016-06-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=57534
00.000.208/0001-00;2015-12-31;1;BRB BANCO DE BRASILIA S.A.;014206;DFP;54309;2016-03-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54309
00.000.208/0001-00;2015-12-31;2;BRB BANCO DE BRASILIA S.A.;014206;DFP;54347;2016-03-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54347
00.000.208/0001-00;2015-12-31;3;BRB BANCO DE BRASILIA S.A.;014206;DFP;54353;2016-03-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54353
00.000.208/0001-00;2015-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;DFP;54940;2016-04-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54940
00.001.180/0001-26;2015-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DFP;54784;2016-03-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54784
00.001.180/0001-26;2015-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DFP;54894;2016-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54894
00.070.698/0001-11;2015-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DFP;54702;2016-03-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54702
00.115.890/0001-87;2015-12-31;1;SHOPPING CENTER TACARUNA SA;015733;DFP;54788;2016-03-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54788
00.192.769/0001-59;2015-12-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;DFP;54501;2016-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54501
00.272.185/0001-93;2015-12-31;1;CIMS S.A.;014818;DFP;54278;2016-03-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54278
00.336.701/0001-04;2015-12-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;DFP;54306;2016-03-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54306
00.354.053/0001-00;2015-12-31;1;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;015083;DFP;54574;2016-03-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54574
00.359.742/0001-08;2015-12-31;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;DFP;53977;2016-03-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=53977
00.383.281/0001-09;2015-12-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;DFP;54489;2016-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54489
00.514.998/0001-42;2015-12-31;1;ELETRON S.A.;016209;DFP;53895;2016-03-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=53895
00.545.378/0001-70;2015-12-31;1;SERRA AZUL WATER PARK SA;014966;DFP;54911;2016-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54911
00.622.416/0001-41;2015-12-31;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;022594;DFP;56780;2016-05-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=56780
00.644.907/0001-93;2015-12-31;1;INVESTCO S.A.;018589;DFP;53799;2016-03-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=53799
00.743.065/0001-27;2015-12-31;1;LITEL PARTICIPACOES S.A.;015091;DFP;54625;2016-03-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54625
00.776.574/0001-56;2015-12-31;1;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;020990;DFP;54005;2016-03-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54005
00.776.574/0001-56;2015-12-31;2;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;020990;DFP;54096;2016-03-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54096
00.861.626/0001-92;2015-12-31;1;CONC RODOVIA PRES. DUTRA S.A.;019577;DFP;53656;2016-02-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=53656
00.864.214/0001-06;2015-12-31;1;ENERGISA S.A.;015253;DFP;54302;2016-03-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54302
00.866.577/0001-80;2015-12-31;1;SAUIPE SA;015261;DFP;54561;2016-03-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54561
00.897.864/0001-58;2015-12-31;1;SANTA CATARINA PART INVEST SA;015199;DFP;54233;2016-03-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54233
00.924.429/0001-75;2015-12-31;1;FERROVIA CENTRO-ATLANTICA S.A.;015369;DFP;54534;2016-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54534
00.924.429/0001-75;2015-12-31;2;FERROVIA CENTRO-ATLANTICA S.A.;015369;DFP;54761;2016-03-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54761
00.924.432/0001-99;2015-12-31;1;HOPI HARI SA;015377;DFP;56808;2016-05-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=56808
00.938.574/0001-05;2015-12-31;1;CONC RIO-TERESOPOLIS S.A.;019208;DFP;54612;2016-03-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=54612
00.979.969/0001-56;2015-12-31;1;CAIXA ADM DIV PUB ESTADUAL SA;015717;DFP;53106;2016-01-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=53106
00.994.533/0001-36;2015-12-31;1;COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO;015652;DFP;61209;2016-11-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=61209
01.027.058/0001-91;2015-12-31;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;021733;DFP;53146;2016-02-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=53146
